지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
257,양산시,2023-06-21,22,12.5,1.5,96
257,양산시,2023-06-22,24.6,0,1.4,78.3
257,양산시,2023-06-23,24.3,,1.4,73.4
257,양산시,2023-06-24,24.2,,1.2,74.4
257,양산시,2023-06-25,23.5,23.8,1.1,81.5
257,양산시,2023-06-26,24.4,17.6,2.9,98.4
257,양산시,2023-06-27,25.7,11.4,4.1,88.6
257,양산시,2023-06-28,24.2,31.7,2.6,88.6
257,양산시,2023-06-29,25.6,5.2,3.2,94.9
257,양산시,2023-06-30,24.9,11.4,2.7,92.4
257,양산시,2023-07-01,25.4,,1.8,82.4
257,양산시,2023-07-02,26.3,,2,83.5
257,양산시,2023-07-03,27.3,,1.3,79.8
257,양산시,2023-07-04,25.4,4.1,0.9,88.9
257,양산시,2023-07-05,27.6,22.4,3,79.6
257,양산시,2023-07-06,26.5,,2,77.6
257,양산시,2023-07-07,22.9,56.5,1.9,92.1
257,양산시,2023-07-08,23.1,3.1,0.7,99.3
257,양산시,2023-07-09,25.9,0.2,1.8,92.5
257,양산시,2023-07-10,27.6,0,2.9,84.9
257,양산시,2023-07-11,25.7,44,2.4,94.6
257,양산시,2023-07-12,26.4,22.6,2.4,91
257,양산시,2023-07-13,26.5,6.5,2.4,94.5
257,양산시,2023-07-14,25.9,18,4.8,96.1
257,양산시,2023-07-15,26.6,5.1,3.7,93.3
257,양산시,2023-07-16,24.3,137.1,1.1,99.5
257,양산시,2023-07-17,27.1,11.8,2.4,93
257,양산시,2023-07-18,25.6,117,1.3,98.3
257,양산시,2023-07-19,25.8,,1.5,87.1
257,양산시,2023-07-20,26.2,,1.5,86.5
257,양산시,2023-07-21,27.1,,1.6,77.8
257,양산시,2023-07-22,25.9,0.5,1.8,82.4
257,양산시,2023-07-23,27.4,4.1,3,92.8
257,양산시,2023-07-24,26.9,18.7,3,95.8
257,양산시,2023-07-25,27.4,2.6,2,87.8
257,양산시,2023-07-26,28.7,,1.8,82.9
257,양산시,2023-07-27,29.5,,1.4,76.1
257,양산시,2023-07-28,29.9,,1.2,76.1
257,양산시,2023-07-29,30.3,,1.1,71.6
257,양산시,2023-07-30,29.5,,1.5,71.6
257,양산시,2023-07-31,29.3,,1.2,70.5
257,양산시,2023-08-01,29.9,,1.5,66.8
257,양산시,2023-08-02,29.9,,1.3,71.5
257,양산시,2023-08-03,31,,1.6,68.1
257,양산시,2023-08-04,30.8,,1.4,70.3
257,양산시,2023-08-05,31,,1.6,70.4
257,양산시,2023-08-06,31.3,,2.3,66
257,양산시,2023-08-07,30.8,,3,69.5
257,양산시,2023-08-08,29.1,,3.9,72.3
257,양산시,2023-08-09,25.4,70,3.9,92.1
257,양산시,2023-08-10,26,229.3,4.4,89.4
257,양산시,2023-08-11,27.4,,2.2,77.9
257,양산시,2023-08-12,27.9,0.1,1.2,75.1
257,양산시,2023-08-13,27.8,,1.4,74.3
257,양산시,2023-08-14,28.5,,2.2,71.8
257,양산시,2023-08-15,28.7,,2.7,67.1
257,양산시,2023-08-16,27.3,0,1.4,78.4
257,양산시,2023-08-17,26.8,,1.9,79.8
257,양산시,2023-08-18,26.8,2.5,2.1,86.3
257,양산시,2023-08-19,27.3,17,1.2,93.8
257,양산시,2023-08-20,29.5,5.2,1.5,83.4
257,양산시,2023-08-21,29.2,,1.4,78
257,양산시,2023-08-22,29,,2,78
257,양산시,2023-08-23,29.3,29.2,1.9,78.9
257,양산시,2023-08-24,26.3,112.8,1.5,97
257,양산시,2023-08-25,27.7,6,1.7,79.6
257,양산시,2023-08-26,27.6,,1.4,75.9
257,양산시,2023-08-27,27.9,,2.6,73.3
257,양산시,2023-08-28,27.3,,2.3,79.4
257,양산시,2023-08-29,27.3,18.7,2.4,89
257,양산시,2023-08-30,27.1,24.6,0.8,90.1
257,양산시,2023-08-31,27.3,16,1.5,89.1
257,양산시,2023-09-01,24.9,27.8,1.1,98.1
257,양산시,2023-09-02,24.9,25.1,1.3,93.8
257,양산시,2023-09-03,27.1,,1.4,81.9
257,양산시,2023-09-04,27.8,0,2.4,75.9
257,양산시,2023-09-05,27,,3.1,66.9
257,양산시,2023-09-06,27.1,,3.3,68.6
257,양산시,2023-09-07,25.4,,2.9,67
257,양산시,2023-09-08,25.2,,2.2,65.5
257,양산시,2023-09-09,24,,1.6,72.5
257,양산시,2023-09-10,25.1,,1.6,73.9
257,양산시,2023-09-11,26.1,,1.2,75.6
257,양산시,2023-09-12,26.2,,0.9,77.4
257,양산시,2023-09-13,26.5,0.9,1.5,80.4
257,양산시,2023-09-14,24.1,42.7,2.6,88.3
257,양산시,2023-09-15,25.1,1.2,2.4,87.1
257,양산시,2023-09-16,24.1,49.2,0.9,98
257,양산시,2023-09-17,24.3,108.3,0.9,97.8
257,양산시,2023-09-18,25.7,0.7,1.3,85.8
257,양산시,2023-09-19,25.7,0,1.7,80
257,양산시,2023-09-20,23.9,38.8,1.6,90.5
257,양산시,2023-09-21,21.8,41.1,3.5,82
257,양산시,2023-09-22,22.3,,2,72
257,양산시,2023-09-23,21.3,,2.2,70.1
257,양산시,2023-09-24,22.9,,3,63.1
257,양산시,2023-09-25,24,,2.7,70.4
257,양산시,2023-09-26,23,1.7,1.5,90.6
257,양산시,2023-09-27,25.3,,1.3,80.8
257,양산시,2023-09-28,24.7,,1.4,73
257,양산시,2023-09-29,23.1,,1,71.3
257,양산시,2023-09-30,20.6,0.8,1.5,79.8
257,양산시,2023-10-01,20,,1.6,65.1
257,양산시,2023-10-02,18.8,,1.3,59.9
257,양산시,2023-10-03,18.6,1.4,1.2,79.9
257,양산시,2023-10-04,20.6,,1.3,70.8
257,양산시,2023-10-05,18.1,,1.8,43.9
257,양산시,2023-10-06,17.5,,1.1,56.5
257,양산시,2023-10-07,19.4,0,1.9,64.5
257,양산시,2023-10-08,19.5,0,2.5,65.3
257,양산시,2023-10-09,19.7,,2.2,75
257,양산시,2023-10-10,19.1,,1.7,64.4
257,양산시,2023-10-11,19.5,,2.2,53.5
257,양산시,2023-10-12,17.3,,1.2,64.9
257,양산시,2023-10-13,18.9,,1.4,66
257,양산시,2023-10-14,18.4,,1.1,71.8
257,양산시,2023-10-15,17.7,,1.7,66.3
257,양산시,2023-10-16,17.3,,1.7,66.1
257,양산시,2023-10-17,15.6,,1.1,62.1
257,양산시,2023-10-18,16.3,,1.6,72.4
257,양산시,2023-10-19,18.2,,1.3,74
257,양산시,2023-10-20,15.3,1.2,2.2,51
257,양산시,2023-10-21,13.3,,2.4,47.8
257,양산시,2023-10-22,12.7,,1.3,67
257,양산시,2023-10-23,15.1,,1.3,71.1
257,양산시,2023-10-24,14.8,,1,74.8
257,양산시,2023-10-25,16.3,,1.2,76
257,양산시,2023-10-26,17,,1.6,73.5
257,양산시,2023-10-27,16.1,,2,69
257,양산시,2023-10-28,15.5,,1.2,67.9
257,양산시,2023-10-29,15.9,,1.4,67.8
257,양산시,2023-10-30,15.3,,1,77.1
257,양산시,2023-10-31,15.7,,1.5,70.3
257,양산시,2023-11-01,16.6,,2.1,78.6
257,양산시,2023-11-02,18.8,,2,78.3
257,양산시,2023-11-03,19.3,,2.2,75.1
257,양산시,2023-11-04,19.6,6,1.6,80.5
257,양산시,2023-11-05,21.2,0.4,2.3,77.9
257,양산시,2023-11-06,19.6,44.4,4.5,66
257,양산시,2023-11-07,13,,3,42.4
257,양산시,2023-11-08,12.5,,1.3,60.4
257,양산시,2023-11-09,16.1,,1.4,76.5
257,양산시,2023-11-10,13.7,1,1.7,57.3
257,양산시,2023-11-11,8.9,,1.4,50.6
257,양산시,2023-11-12,7.5,,2.3,37
257,양산시,2023-11-13,6.9,,2.3,36.8
257,양산시,2023-11-14,8.4,,1.7,50.4
257,양산시,2023-11-15,9.1,,1.3,64.1
257,양산시,2023-11-16,8.8,9.7,1.2,80.6
257,양산시,2023-11-17,7.6,,2.4,61.9
257,양산시,2023-11-18,5.2,0.7,3.1,51.3
257,양산시,2023-11-19,9.1,,2.1,58
257,양산시,2023-11-20,8.8,,1,66.8
257,양산시,2023-11-21,9.3,,1.7,70.6
257,양산시,2023-11-22,12.4,,2.2,76.9
257,양산시,2023-11-23,16.4,,2.8,63.1
257,양산시,2023-11-24,6.5,,3.1,31.6
257,양산시,2023-11-25,3.5,,1.3,42
257,양산시,2023-11-26,5.6,,0.8,54.8
257,양산시,2023-11-27,9.6,,1.2,66.9
257,양산시,2023-11-28,8.6,,2.6,43
257,양산시,2023-11-29,6.7,,1.8,56
257,양산시,2023-11-30,3.1,,2.9,34.3
257,양산시,2023-12-01,2.8,,2.2,44.3
257,양산시,2023-12-02,5.4,,1.9,55.1
257,양산시,2023-12-03,5.5,,1.1,65
257,양산시,2023-12-04,5.6,,1.1,61.6
257,양산시,2023-12-05,6.9,,0.8,58.6
257,양산시,2023-12-06,8.5,0.8,2.1,68
257,양산시,2023-12-07,8.1,,2.3,47
257,양산시,2023-12-08,,,1.8,
257,양산시,2023-12-09,14.4,,1.9,77
257,양산시,2023-12-10,13.7,,1.9,75.8
257,양산시,2023-12-11,14.9,27,2.5,89
257,양산시,2023-12-12,10.2,0,4.7,75
257,양산시,2023-12-13,10.5,,2.1,71.4
257,양산시,2023-12-14,11.8,21.1,3.7,82.4
257,양산시,2023-12-15,11,35.3,2.3,98.4
257,양산시,2023-12-16,4.5,0.9,3.6,57.4
257,양산시,2023-12-17,-2.2,,3.1,38.6
257,양산시,2023-12-18,-0.1,,2.2,35.9
257,양산시,2023-12-19,2.1,,1.3,49.4
257,양산시,2023-12-20,0.4,,2.6,53.9
257,양산시,2023-12-21,-4.1,,2.8,39.6
257,양산시,2023-12-22,-3.9,,2.7,36.8
257,양산시,2023-12-23,-1.2,,2.3,41.6
257,양산시,2023-12-24,1.1,,1.2,57.5
257,양산시,2023-12-25,0.6,,1.9,64.9
257,양산시,2023-12-26,2.7,,1.5,65.9
257,양산시,2023-12-27,4.9,,1,63.5
257,양산시,2023-12-28,4.6,,0.9,68.3
257,양산시,2023-12-29,4,,1.5,61.8
257,양산시,2023-12-30,5.4,1.4,1.2,72.4
257,양산시,2023-12-31,7,0.7,2.1,76.1
257,양산시,2024-01-01,7.1,,1.7,62.9
257,양산시,2024-01-02,7.7,,1.4,63.8
257,양산시,2024-01-03,6.3,,2.1,58.6
257,양산시,2024-01-04,4.5,,1.9,45.9
257,양산시,2024-01-05,5.8,,1.9,67.9
257,양산시,2024-01-06,4.1,,1.2,59.9
257,양산시,2024-01-07,1.9,,2.3,40.5
257,양산시,2024-01-08,-0.1,,1.7,36.1
257,양산시,2024-01-09,1.9,4.4,1.4,61.4
257,양산시,2024-01-10,4.2,0.2,1.8,79.9
257,양산시,2024-01-11,4,,1.6,62.3
257,양산시,2024-01-12,3.8,,1.2,68
257,양산시,2024-01-13,3.2,,1.7,53
257,양산시,2024-01-14,6.8,,2,70.5
257,양산시,2024-01-15,5,,1.9,39.3
257,양산시,2024-01-16,3.2,,1.4,53.4
257,양산시,2024-01-17,6.2,0.4,1.4,73.9
257,양산시,2024-01-18,10.6,10.6,3,84.4
257,양산시,2024-01-19,7.4,0.1,3.7,71.4
257,양산시,2024-01-20,7.4,14.6,4.1,86.6
257,양산시,2024-01-21,7.7,0,3.4,74.4
257,양산시,2024-01-22,1.7,0.2,3.4,52.8
257,양산시,2024-01-23,-3.9,,3.3,39
257,양산시,2024-01-24,-2.2,,3.3,37.1
257,양산시,2024-01-25,-0.9,,2.1,37.3
257,양산시,2024-01-26,2.8,,2.1,41.8
257,양산시,2024-01-27,3.6,,1.5,52.5
257,양산시,2024-01-28,3.2,,1.8,48.1
257,양산시,2024-01-29,2.3,,1.2,60.6
257,양산시,2024-01-30,5,,0.9,66
257,양산시,2024-01-31,9,0.8,1.1,82.5
257,양산시,2024-02-01,7.4,1.4,2.2,84
257,양산시,2024-02-02,6.7,0,3,73.6
257,양산시,2024-02-03,7.2,4.5,2.8,77.4
257,양산시,2024-02-04,8,3.6,3.1,80.4
257,양산시,2024-02-05,7,11.9,4.3,82.6
257,양산시,2024-02-06,5.3,,2.2,74.5
257,양산시,2024-02-07,4.7,,1.6,63
257,양산시,2024-02-08,4.9,,1.1,65.3
257,양산시,2024-02-09,5,,1.2,59.9
257,양산시,2024-02-10,4.9,,1.8,48.3
257,양산시,2024-02-11,4.5,,2.1,53.9
257,양산시,2024-02-12,5,,2,57.1
257,양산시,2024-02-13,9.1,,3.2,68.3
257,양산시,2024-02-14,12.3,1.6,1.4,90.6
257,양산시,2024-02-15,12,,2.6,77.5
257,양산시,2024-02-16,5.8,,2.3,58.3
257,양산시,2024-02-17,6.2,,1.3,72.6
257,양산시,2024-02-18,9.3,12.2,0.7,89.3
257,양산시,2024-02-19,16.7,87.2,2.2,89.6
257,양산시,2024-02-20,9.5,3.1,3.7,87
257,양산시,2024-02-21,7.3,2.2,4.4,85.6
257,양산시,2024-02-22,4.6,0.8,4.7,82
257,양산시,2024-02-23,4.5,0,4.3,70.6
257,양산시,2024-02-24,5.3,0,3.1,63.9
257,양산시,2024-02-25,6.7,2.3,2.1,78.3
257,양산시,2024-02-26,6,,2.4,68.6
257,양산시,2024-02-27,5.3,,2.6,58.1
257,양산시,2024-02-28,7.2,,2.3,60.8
257,양산시,2024-02-29,6.2,9.1,2.3,82.9
257,양산시,2024-03-01,3.2,,3.2,37.3
257,양산시,2024-03-02,1.3,,2.6,40.3
257,양산시,2024-03-03,5.8,,2,60.9
257,양산시,2024-03-04,9.1,,1.7,59.3
257,양산시,2024-03-05,7.8,16.2,4.2,89.9
257,양산시,2024-03-06,8.1,0,4,70.4
257,양산시,2024-03-07,7.7,0,2.4,67.6
257,양산시,2024-03-08,6.8,,3,31.8
257,양산시,2024-03-09,4.7,,2,45
257,양산시,2024-03-10,6.4,,1.7,56.5
257,양산시,2024-03-11,8.2,0.8,2,72.1
257,양산시,2024-03-12,7.9,0.2,1.6,80
257,양산시,2024-03-13,8,,2.1,65.3
257,양산시,2024-03-14,9.7,,1.9,48
257,양산시,2024-03-15,11.3,,2,50.3
257,양산시,2024-03-16,13.7,0,2.1,48
257,양산시,2024-03-17,15,0,3,46.6
257,양산시,2024-03-18,10.3,,2,49.9
257,양산시,2024-03-19,11.3,0,3.3,47
257,양산시,2024-03-20,7.7,,3.2,40.3
257,양산시,2024-03-21,7.2,,1.9,42.9
257,양산시,2024-03-22,11,4.7,2.6,68.5
257,양산시,2024-03-23,18,1.1,2.7,66.9
257,양산시,2024-03-24,12.1,2.1,3.8,77.4
257,양산시,2024-03-25,10.9,11.7,3.8,82.4
257,양산시,2024-03-26,9.1,10.8,3.6,77.9
257,양산시,2024-03-27,10,,1.3,73
257,양산시,2024-03-28,11.5,53.1,1.1,92.8
257,양산시,2024-03-29,14.1,,3.6,66.1
257,양산시,2024-03-30,13.2,,2.1,62
257,양산시,2024-03-31,13.5,,1.5,70.3
257,양산시,2024-04-01,13.9,,1.7,60.8
257,양산시,2024-04-02,15.2,4.2,1.5,66.1
257,양산시,2024-04-03,13.1,39.7,3.7,97
257,양산시,2024-04-04,13.9,,2.9,63.1
257,양산시,2024-04-05,14.6,,2.4,58.3
257,양산시,2024-04-06,14,,1.3,71.6
257,양산시,2024-04-07,16.3,,1.5,64.4
257,양산시,2024-04-08,17.4,,1.1,57.8
257,양산시,2024-04-09,13.8,,4.1,55
257,양산시,2024-04-10,13.2,,1.8,63.3
257,양산시,2024-04-11,14.8,,1.5,70.9
257,양산시,2024-04-12,17.2,,1.5,70
257,양산시,2024-04-13,18,,1.4,63.3
257,양산시,2024-04-14,18.7,,1.4,59.8
257,양산시,2024-04-15,16.6,17.9,1,91
257,양산시,2024-04-16,18.4,,2,72.5
257,양산시,2024-04-17,16.6,,1.3,58.8
257,양산시,2024-04-18,17.9,,1.5,61.5
257,양산시,2024-04-19,18.7,,2.3,63.3
257,양산시,2024-04-20,16,2.1,1.7,82.3
257,양산시,2024-04-21,16.8,,3.8,84.1
257,양산시,2024-04-22,16.1,,3.6,73.9
257,양산시,2024-04-23,15.5,9.3,3,73
257,양산시,2024-04-24,15.2,0,1.8,75.9
257,양산시,2024-04-25,17.5,,2,68.6
257,양산시,2024-04-26,16.9,,1.4,78.8
257,양산시,2024-04-27,19.5,,1.4,70.8
257,양산시,2024-04-28,19.5,,1.7,68.3
257,양산시,2024-04-29,15.1,33,4.1,88.6
257,양산시,2024-04-30,17.8,,2.2,79.6
257,양산시,2024-05-01,14.6,0.1,3.3,67.1
257,양산시,2024-05-02,15.7,,1.7,63.6
257,양산시,2024-05-03,17.2,,1.3,62
257,양산시,2024-05-04,18.4,,1.5,60.5
257,양산시,2024-05-05,18.9,47.7,1.9,88.3
257,양산시,2024-05-06,19.9,40.2,3.3,81.4
257,양산시,2024-05-07,16,4.4,2.5,82.5
257,양산시,2024-05-08,14,0.1,3,70.8
257,양산시,2024-05-09,16,,2.1,71.4
257,양산시,2024-05-10,19.2,,2.6,59.3
257,양산시,2024-05-11,19.1,4.2,3.9,85.1
257,양산시,2024-05-12,19.6,15.8,1.6,75.3
257,양산시,2024-05-13,17.6,,1.5,59.9
257,양산시,2024-05-14,18.7,,1.5,59.1
257,양산시,2024-05-15,18.7,1.4,2.6,69.5
257,양산시,2024-05-16,16.6,4.8,2.6,55.4
257,양산시,2024-05-17,19.1,,2.8,57.1
257,양산시,2024-05-18,20.3,,2.4,59
257,양산시,2024-05-19,21.5,,1.6,55.3
257,양산시,2024-05-20,22.5,,1.5,61
257,양산시,2024-05-21,19.5,,3.1,70
257,양산시,2024-05-22,20.2,,1.7,67.3
257,양산시,2024-05-23,23.5,,2.2,66
257,양산시,2024-05-24,22.2,,2.2,63
257,양산시,2024-05-25,20.7,,2.8,51.3
257,양산시,2024-05-26,20.1,11.3,2.8,65.3
257,양산시,2024-05-27,23,0.6,2.2,60.9
257,양산시,2024-05-28,19.9,,2.6,54.1
257,양산시,2024-05-29,19.2,,1.8,63.3
257,양산시,2024-05-30,20.5,0,1.1,62.9
257,양산시,2024-05-31,22.7,0.2,1.7,63.1
257,양산시,2024-06-01,22.1,,1.9,63.5
257,양산시,2024-06-02,20,,1.7,68.8
257,양산시,2024-06-03,19.8,,1.9,67.8
257,양산시,2024-06-04,20.2,,1.9,63.8
257,양산시,2024-06-05,21.5,,1.6,56.3
257,양산시,2024-06-06,21.3,,1.5,68.9
257,양산시,2024-06-07,23.1,,1.5,60.3
257,양산시,2024-06-08,19.8,15.9,0.9,94.4
257,양산시,2024-06-09,22.4,0.3,1.6,85
257,양산시,2024-06-10,24.4,,2.2,75.5
257,양산시,2024-06-11,25.3,,2,68.6
257,양산시,2024-06-12,25.9,,2,66.3
257,양산시,2024-06-13,26.6,,1.6,63.8
257,양산시,2024-06-14,26,,1.7,61.9
257,양산시,2024-06-15,26.7,1.7,2,69.1
257,양산시,2024-06-16,26.4,,1.9,67.3
257,양산시,2024-06-17,23.6,,1.3,68.4
257,양산시,2024-06-18,26.1,,1.8,59.9
257,양산시,2024-06-19,27.1,,1.8,59.3
257,양산시,2024-06-20,23.8,0,1.4,68.8
257,양산시,2024-06-21,25.7,,1.8,71.1
257,양산시,2024-06-22,24.1,33.2,1.9,95.9
257,양산시,2024-06-23,25.7,0,2.8,85.1
257,양산시,2024-06-24,25.4,,2.9,82.4
257,양산시,2024-06-25,24.6,,1.6,63.3
257,양산시,2024-06-26,24,,1.3,62.3
257,양산시,2024-06-27,22.4,0,0.9,69.3
257,양산시,2024-06-28,25.3,0,2,72.5
257,양산시,2024-06-29,24.6,69.9,2.3,90.8
257,양산시,2024-06-30,25.2,39.6,3.8,95.8
257,양산시,2024-07-01,27.1,0,2.1,82.1
257,양산시,2024-07-02,24.7,73.4,2.2,98.6
257,양산시,2024-07-03,26.7,0.8,4,89.8
257,양산시,2024-07-04,27.8,,3.2,80.3
257,양산시,2024-07-05,27.7,0.2,3.8,81
257,양산시,2024-07-06,26.9,,3.6,85.5
257,양산시,2024-07-07,27.8,,3.3,84.5
257,양산시,2024-07-08,26.9,,3,89
257,양산시,2024-07-09,26.6,27.3,2.2,94.5
257,양산시,2024-07-10,25.4,38.4,3.5,92.9
257,양산시,2024-07-11,24.7,,1.4,88.1
257,양산시,2024-07-12,26.1,,1.4,82
257,양산시,2024-07-13,26,0,1.2,78.9
257,양산시,2024-07-14,24.1,32.2,1.8,95.3
257,양산시,2024-07-15,25.4,0.2,2.1,85.1
257,양산시,2024-07-16,24.5,12.9,1.4,98.6
257,양산시,2024-07-17,27,,2.8,91.1
257,양산시,2024-07-18,27.2,0.1,3.5,92
257,양산시,2024-07-19,26.1,10.7,2.2,91.4
257,양산시,2024-07-20,27.4,3.9,2.4,85.5
257,양산시,2024-07-21,29.6,1.3,3.1,78.8
257,양산시,2024-07-22,29.2,,3.3,82.9
257,양산시,2024-07-23,29.9,0,3.3,80.9
257,양산시,2024-07-24,27.1,4.6,2.2,89.9
257,양산시,2024-07-25,29.6,0,1.7,80.5
257,양산시,2024-07-26,29.2,4.7,1.8,81.8
257,양산시,2024-07-27,29.4,0.6,2.9,86.9
257,양산시,2024-07-28,30.3,,3.1,78.3
257,양산시,2024-07-29,30.9,,2.6,75.3
257,양산시,2024-07-30,31.5,,1.6,71.5
257,양산시,2024-07-31,31,,2.2,74.5
257,양산시,2024-08-01,30.7,,2.3,77
257,양산시,2024-08-02,31.2,,2.2,76.5
257,양산시,2024-08-03,32,0,1.6,76
257,양산시,2024-08-04,31.4,0,1.8,73.3
257,양산시,2024-08-05,31.1,,2,71.9
257,양산시,2024-08-06,29.1,29.2,1,83.1
257,양산시,2024-08-07,29.4,9.7,1.2,81.4
257,양산시,2024-08-08,29.1,13.1,1,83
257,양산시,2024-08-09,28.9,7.9,1,81.9
257,양산시,2024-08-10,29.6,,1.7,74.9
257,양산시,2024-08-11,29.3,,2,73
257,양산시,2024-08-12,29.2,,2.2,72.3
257,양산시,2024-08-13,29.4,,2.1,68.3
257,양산시,2024-08-14,29.7,,2.3,71.8
257,양산시,2024-08-15,29.6,,2.3,72.6
257,양산시,2024-08-16,29.7,,1.9,70.5
257,양산시,2024-08-17,30.1,,1.8,69.4
257,양산시,2024-08-18,29.8,,2,68.9
257,양산시,2024-08-19,30.3,0,2.1,75.1
257,양산시,2024-08-20,29.2,25.1,1.9,86.6
257,양산시,2024-08-21,29,14.3,2.4,90.4
257,양산시,2024-08-22,30.2,0.7,3.1,85.9
257,양산시,2024-08-23,30.5,0,1.7,74.8
257,양산시,2024-08-24,29.9,,1.7,76.5
257,양산시,2024-08-25,29.8,,1.5,75.9
257,양산시,2024-08-26,29.6,,1.2,77.4
257,양산시,2024-08-27,28.2,,2.6,76.6
257,양산시,2024-08-28,26.6,0.4,3.2,82.6
257,양산시,2024-08-29,28.8,10.7,3.7,76.3
257,양산시,2024-08-30,29.7,0,3,68.3
257,양산시,2024-08-31,27.8,,1.6,70.6
257,양산시,2024-09-01,27.7,,1.6,73.6
257,양산시,2024-09-02,27.7,,1.7,76.5
257,양산시,2024-09-03,25.6,1.9,2.5,74.8
257,양산시,2024-09-04,26.5,,2.1,68.4
257,양산시,2024-09-05,27.4,,1.7,69.1
257,양산시,2024-09-06,27.5,0,2,79.4
257,양산시,2024-09-07,28.3,0,1.7,77.4
257,양산시,2024-09-08,28.6,0,1.4,78.8
257,양산시,2024-09-09,29.1,,2.6,72.4
257,양산시,2024-09-10,29.9,,2.1,70.3
257,양산시,2024-09-11,29,4.7,1.1,82.5
257,양산시,2024-09-12,28.4,0,1.2,83.9
257,양산시,2024-09-13,29.5,,1.2,76.5
257,양산시,2024-09-14,29.7,,1.5,74.1
257,양산시,2024-09-15,28.4,0,3.2,80
257,양산시,2024-09-16,27.2,0.1,3.2,82.3
257,양산시,2024-09-17,30,0.8,1.2,76.9
257,양산시,2024-09-18,30.2,,1.4,71.3
257,양산시,2024-09-19,30.1,,1,70.5
257,양산시,2024-09-20,27.5,46.6,1.2,89.9
257,양산시,2024-09-21,22.1,336,3,99.3
257,양산시,2024-09-22,22.6,0.4,3.2,81.9
257,양산시,2024-09-23,21.2,,2.9,64.8
257,양산시,2024-09-24,22.5,,2.5,72.3
257,양산시,2024-09-25,24.4,,2.5,71.4
257,양산시,2024-09-26,24.7,,1,76.3
257,양산시,2024-09-27,25,,1.8,78
257,양산시,2024-09-28,23.8,0.2,2.7,79.5
257,양산시,2024-09-29,23.7,,3,66.5
257,양산시,2024-09-30,23.4,,1.6,75
257,양산시,2024-10-01,23.9,0,1.7,67.3
257,양산시,2024-10-02,20,0,2.3,42.6
257,양산시,2024-10-03,18.4,10.7,3.2,77.4
257,양산시,2024-10-04,19,0.2,1.7,72.9
257,양산시,2024-10-05,19.6,,1.5,73.4
257,양산시,2024-10-06,20.1,4.1,1.6,83.1
257,양산시,2024-10-07,18.1,4.4,0.8,89.4
257,양산시,2024-10-08,20.3,,1.7,77.3
257,양산시,2024-10-09,19.8,,2.8,67.3
257,양산시,2024-10-10,19.5,0,1.3,70.9
257,양산시,2024-10-11,19.1,,0.8,77.3
257,양산시,2024-10-12,19.7,,0.8,74.1
257,양산시,2024-10-13,20.8,,1.9,74.6
257,양산시,2024-10-14,22.2,29,1.7,84.1
257,양산시,2024-10-15,22.4,7.4,0.8,92.4
257,양산시,2024-10-16,21.8,,1.8,77.1
257,양산시,2024-10-17,21.6,,2.4,74.6
257,양산시,2024-10-18,23.5,64.7,2.7,87.5
257,양산시,2024-10-19,19.7,3.5,3,88.9
257,양산시,2024-10-20,16.4,,3.5,59.3
257,양산시,2024-10-21,19.7,0,2.5,73.4
257,양산시,2024-10-22,20.5,71.7,2,97.8
257,양산시,2024-10-23,18.4,,2.3,64.9
257,양산시,2024-10-24,15.9,,1.3,69
257,양산시,2024-10-25,19.2,,2.9,70.8
257,양산시,2024-10-26,19.6,,2.7,69.8
257,양산시,2024-10-27,16.2,2.2,0.9,91.3
257,양산시,2024-10-28,17.1,0,2.2,80.9
257,양산시,2024-10-29,17.3,,2.6,70.6
257,양산시,2024-10-30,16.6,,1,74.4
257,양산시,2024-10-31,18,,1.7,72.8
257,양산시,2024-11-01,15.4,41,1.6,97.3
257,양산시,2024-11-02,18,22.2,3.1,84.5
257,양산시,2024-11-03,16.1,,1.2,78.8
257,양산시,2024-11-04,15.6,,1,84.3
257,양산시,2024-11-05,14.3,,1.2,64.8
257,양산시,2024-11-06,11.3,,1.7,38.9
257,양산시,2024-11-07,12,,1,71.8
257,양산시,2024-11-08,14.3,,0.9,80
257,양산시,2024-11-09,15.3,,1.7,75.3
257,양산시,2024-11-10,15.2,,0.8,83.4
257,양산시,2024-11-11,15.4,,1,80.3
257,양산시,2024-11-12,14.5,,1.1,77.9
257,양산시,2024-11-13,14.5,,1.5,73.1
257,양산시,2024-11-14,15,,0.9,76.5
257,양산시,2024-11-15,17.2,0,1.3,76
257,양산시,2024-11-16,18.8,,1.6,74
257,양산시,2024-11-17,14.6,,1.7,58.9
257,양산시,2024-11-18,8.7,,2.3,43.3
257,양산시,2024-11-19,10.5,,2,64.5
257,양산시,2024-11-20,10,,1,64.1
257,양산시,2024-11-21,10.6,,1.5,69.4
257,양산시,2024-11-22,9.5,,1.4,60.4
257,양산시,2024-11-23,10.6,,2.7,59
257,양산시,2024-11-24,10.9,,1.6,70.4
257,양산시,2024-11-25,11.3,0,1.4,73
257,양산시,2024-11-26,11.6,25.7,2.7,66.9
257,양산시,2024-11-27,6.2,0,2.5,59.8
257,양산시,2024-11-28,6.5,0,2.6,59.8
257,양산시,2024-11-29,6.6,,2.1,61.1
257,양산시,2024-11-30,8.4,,1.8,56
257,양산시,2024-12-01,8.6,,1,73.9
257,양산시,2024-12-02,11.1,,1.6,76.3
257,양산시,2024-12-03,9,,1.8,41
